content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
App basura siempre en el cajero te sale que ha salido un error al verificar la cuenta y demás es tedioso estar con eso siempre retiraré todo mi dinero y la llevare a otra billetera que no tenga semejantes horrores si se pudiera le daría 0 estrellas...,1,0,app basura siempre cajero sale salido error verificar cuenta demás tedioso siempre retiraré dinero llevare billetera semejantes horrores si pudiera daría estrellas,app basura siempre cajero sale salido error verificar cuenta demas tedioso siempre retirare dinero llevare billetera semejantes horrores si pudiera daria estrellas,app basura siempre cajero salir salido error verificar contar demas tedioso siempre retirare dinero llevare billetera semejante horror poder dario estrella,"['app', 'basura', 'siempre', 'cajero', 'salir', 'salido', 'error', 'verificar', 'contar', 'demas', 'tedioso', 'siempre', 'retirare', 'dinero', 'llevare', 'billetera', 'semejante', 'horror', 'poder', 'dario', 'estrella']"
Mucho se está colgando la aplicación deben darle solución lo más antes,1,0,colgando aplicación deben darle solución,colgando aplicacion deben darle solucion,colgar aplicacion deber dar él solucion,"['colgar', 'aplicacion', 'deber', 'dar', 'él', 'solucion']"
Pésima atención. 2 semanas esperando respuesta porque mi registro se quedó en configuración de cuenta y no dan ninguna respuesta.,1,0,pésima atención semanas esperando respuesta registro quedó configuración cuenta dan ninguna respuesta,pesima atencion semanas esperando respuesta registro quedo configuracion cuenta dan ninguna respuesta,pesimar atencion semana esperar respuesta registro quedo configuracion contar dar ninguno respuesta,"['pesimar', 'atencion', 'semana', 'esperar', 'respuesta', 'registro', 'quedo', 'configuracion', 'contar', 'dar', 'ninguno', 'respuesta']"
"Muy mala aplicación,, hice una transferencia y ni siquiera me aparece, pero si me avisa en notificación y a la hora de retirar me informa que no tengo fondo",1,6,mala aplicación hice transferencia siquiera aparece si avisa notificación hora retirar informa fondo,mala aplicacion hice transferencia siquiera aparece si avisa notificacion hora retirar informa fondo,malo aplicacion hacer transferencia siquiera aparecer avisar notificacion hora retirar informar fondo,"['malo', 'aplicacion', 'hacer', 'transferencia', 'siquiera', 'aparecer', 'avisar', 'notificacion', 'hora', 'retirar', 'informar', 'fondo']"
Que pasa.. en ves deejorar empeoran no se puede pagar por QR pese vergüenza igual yo.. arreglen o desactivenla y ya.. así ya no se pasa vergüenza y se busca otra manera.. señores.. simple,1,0,pasa ves deejorar empeoran puede pagar qr pese vergüenza igual arreglen desactivenla así pasa vergüenza busca manera señores simple,pasa ves deejorar empeoran puede pagar qr pese verguenza igual arreglen desactivenla asi pasa verguenza busca manera senores simple,pasar ves deejorar empeoran poder pagar pese verguenza igual arreglir desactivenla asi pasar verguenza buscar manera senor simple,"['pasar', 'ves', 'deejorar', 'empeoran', 'poder', 'pagar', 'pese', 'verguenza', 'igual', 'arreglir', 'desactivenla', 'asi', 'pasar', 'verguenza', 'buscar', 'manera', 'senor', 'simple']"
:R×3~4☆DA S,3,0,r×☆da s,r×☆da s,,[]
Bien confiable,5,0,bien confiable,bien confiable,bien confiable,"['bien', 'confiable']"
Pésimo servicio arreglen de eso de la. Configuración no entra se corta,1,0,pésimo servicio arreglen configuración entra corta,pesimo servicio arreglen configuracion entra corta,pesimo servicio arreglir configuracion entrar corta,"['pesimo', 'servicio', 'arreglir', 'configuracion', 'entrar', 'corta']"
"La aplicación de billetera móvil más ineficiente que conozco, sus cajeros siempre descompuestos o falla de sistema, el sistema de recojo de dinero como eje farmacoorp el mismo pretexto, tenes que estar de cajero en cajero probando suerte, un desastre.",1,4,aplicación billetera móvil ineficiente conozco cajeros siempre descompuestos falla sistema sistema recojo dinero eje farmacoorp mismo pretexto tenes cajero cajero probando suerte desastre,aplicacion billetera movil ineficiente conozco cajeros siempre descompuestos falla sistema sistema recojo dinero eje farmacoorp mismo pretexto tenes cajero cajero probando suerte desastre,aplicacion billetera movil ineficiente conocer cajero siempre descompuesto fallar sistema sistema recojo dinero eje farmacoorp mismo pretexto tén cajero cajero probar suerte desastre,"['aplicacion', 'billetera', 'movil', 'ineficiente', 'conocer', 'cajero', 'siempre', 'descompuesto', 'fallar', 'sistema', 'sistema', 'recojo', 'dinero', 'eje', 'farmacoorp', 'mismo', 'pretexto', 'tén', 'cajero', 'cajero', 'probar', 'suerte', 'desastre']"
Estan facili de pagar y cobrara de yolopago del banco ganadero,5,0,estan facili pagar cobrara yolopago banco ganadero,estan facili pagar cobrara yolopago banco ganadero,estar facili pagar cobrara yolopago banco ganadero,"['estar', 'facili', 'pagar', 'cobrara', 'yolopago', 'banco', 'ganadero']"
no me permite retirar mi dinero aunque sea 30 bs solo me permite sobre es monto y después falla es una decepción,1,0,permite retirar dinero aunque bs solo permite monto después falla decepción,permite retirar dinero aunque bs solo permite monto despues falla decepcion,permitir retirar dinero aunque solo permitir monto despues falla decepcion,"['permitir', 'retirar', 'dinero', 'aunque', 'solo', 'permitir', 'monto', 'despues', 'falla', 'decepcion']"
"De un tiempo a esta parte la aplicación mucho falla, si van a aeguir asi es mejor que la anulen porque en vez de funcionar bien solo falla y falla. Por eso le doy una estrella, si sigue fallando le borro esa estrella",1,1,tiempo parte aplicación falla si van aeguir asi mejor anulen vez funcionar bien solo falla falla doy estrella si sigue fallando borro estrella,tiempo parte aplicacion falla si van aeguir asi mejor anulen vez funcionar bien solo falla falla doy estrella si sigue fallando borro estrella,tiempo partir aplicacion falla ir aeguir asi mejor anular vez funcionar bien solo falla falla dar estrella seguir fallar borro estrella,"['tiempo', 'partir', 'aplicacion', 'falla', 'ir', 'aeguir', 'asi', 'mejor', 'anular', 'vez', 'funcionar', 'bien', 'solo', 'falla', 'falla', 'dar', 'estrella', 'seguir', 'fallar', 'borro', 'estrella']"
"Que pasa? Hace horas dije que la app esta mantenimiento! Bueno pero como así? Uno tiene que pagar deudas... Pedi un indrive a la hora de pagar nunca entró la app salió la misma mensaje ""estamos en mantenimiento"" yo sin efectivo la plata toda en la app, imagina la vergüenza tuve que volver a la casa pagar el doble porque tuvo que ir recoger plata en la casa. Una falta de respeto total total total.",1,164,pasa hace horas dije app mantenimiento bueno así pagar deudas pedi indrive hora pagar nunca entró app salió misma mensaje mantenimiento efectivo plata toda app imagina vergüenza volver casa pagar doble ir recoger plata casa falta respeto total total total,pasa hace horas dije app mantenimiento bueno asi pagar deudas pedi indrive hora pagar nunca entro app salio misma mensaje mantenimiento efectivo plata toda app imagina verguenza volver casa pagar doble ir recoger plata casa falta respeto total total total,pasar hacer hora decir app mantenimiento bueno asi pagar deuda pedi indrivir hora pagar nunca entro app salio mismo mensaje mantenimiento efectivo platar todo app imagina verguenzar volver casa pagar doble recoger plata casa falto respeto total total total,"['pasar', 'hacer', 'hora', 'decir', 'app', 'mantenimiento', 'bueno', 'asi', 'pagar', 'deuda', 'pedi', 'indrivir', 'hora', 'pagar', 'nunca', 'entro', 'app', 'salio', 'mismo', 'mensaje', 'mantenimiento', 'efectivo', 'platar', 'todo', 'app', 'imagina', 'verguenzar', 'volver', 'casa', 'pagar', 'doble', 'recoger', 'plata', 'casa', 'falto', 'respeto', 'total', 'total', 'total']"
Por favor kiero retirar mi dinero y no puedo arreglen rápido,1,0,favor kiero retirar dinero puedo arreglen rápido,favor kiero retirar dinero puedo arreglen rapido,favor kiero retirar dinero poder arreglir rapido,"['favor', 'kiero', 'retirar', 'dinero', 'poder', 'arreglir', 'rapido']"
"Desde la mañana estoy intentado sacar dinero y me aparece en mantenimiento, arreglen eso por favor.",1,0,mañana intentado sacar dinero aparece mantenimiento arreglen favor,manana intentado sacar dinero aparece mantenimiento arreglen favor,manán intentado sacar dinero aparecer mantenimiento arreglir favor,"['manán', 'intentado', 'sacar', 'dinero', 'aparecer', 'mantenimiento', 'arreglir', 'favor']"
"increíble que todo el día sin servicio, ni siquiera un aviso de mantenimiento, me perjudicaron artisimo",1,1,increíble día servicio siquiera aviso mantenimiento perjudicaron artisimo,increible dia servicio siquiera aviso mantenimiento perjudicaron artisimo,increible dia servicio siquiera aviso mantenimiento perjudicar artisimo,"['increible', 'dia', 'servicio', 'siquiera', 'aviso', 'mantenimiento', 'perjudicar', 'artisimo']"
"Todo el tiempo para en mantenimiento, hasta cuando lo arreglan?",1,0,tiempo mantenimiento arreglan,tiempo mantenimiento arreglan,tiempo mantenimiento arreglar,"['tiempo', 'mantenimiento', 'arreglar']"
Muy mal por que en todo el dia me a salido en matenimiento y pues siempre sale algo y retasa hasta el codigo para retiro,1,0,mal dia salido matenimiento pues siempre sale retasa codigo retiro,mal dia salido matenimiento pues siempre sale retasa codigo retiro,mal dia salido matenimiento pues siempre salir retasar codigo retiro,"['mal', 'dia', 'salido', 'matenimiento', 'pues', 'siempre', 'salir', 'retasar', 'codigo', 'retiro']"
Es una desepsion hoy no pude aser trasnsancion todo el dia es una pena esta aplicacion ya no es como antes era excelente,1,1,desepsion hoy pude aser trasnsancion dia pena aplicacion excelente,desepsion hoy pude hacer trasnsancion dia pena aplicacion excelente,desepsion hoy poder hacer trasnsancion diar pena aplicacion excelente,"['desepsion', 'hoy', 'poder', 'hacer', 'trasnsancion', 'diar', 'pena', 'aplicacion', 'excelente']"
La vrdd es muy pele cuando uno más lo necesita está en mantenimiento lo malo q tarda un chingo para rematelar un simple aplicación por favor lo necesito la aplicación pero ya ya no al tiempo q le de la ganas ustedes mie q vergüenza la vrdd,1,0,vrdd pele necesita mantenimiento malo q tarda chingo rematelar simple aplicación favor necesito aplicación tiempo q ganas ustedes mie q vergüenza vrdd,vrdd pele necesita mantenimiento malo q tarda chingo rematelar simple aplicacion favor necesito aplicacion tiempo q ganas ustedes mie q verguenza vrdd,vrdd pelir necesitar mantenimiento malo tardar chingo rematelar simple aplicacion favor necesitar aplicacion tiempo gana usted mie verguenzar vrdd,"['vrdd', 'pelir', 'necesitar', 'mantenimiento', 'malo', 'tardar', 'chingo', 'rematelar', 'simple', 'aplicacion', 'favor', 'necesitar', 'aplicacion', 'tiempo', 'gana', 'usted', 'mie', 'verguenzar', 'vrdd']"
"Está en mantenimiento,? No comprendo , me hicieron un depósito deseo retirar necesito soluciones",1,1,mantenimiento comprendo hicieron depósito deseo retirar necesito soluciones,mantenimiento comprendo hicieron deposito deseo retirar necesito soluciones,mantenimiento comprendo hacer deposito desear retirar necesitar solución,"['mantenimiento', 'comprendo', 'hacer', 'deposito', 'desear', 'retirar', 'necesitar', 'solución']"
Donde se puede denunciar Trngo dinero q no puedo sacar,1,0,puede denunciar trngo dinero q puedo sacar,puede denunciar trngo dinero q puedo sacar,poder denunciar trnguir dinero poder sacar,"['poder', 'denunciar', 'trnguir', 'dinero', 'poder', 'sacar']"
Muy lenta,1,0,lenta,lenta,lento,['lento']
"Reestablescan su servicio por favor, debo hacer una transacción importante y no me encuentro cerca de ningún Banco Ganadero.",1,1,reestablescan servicio favor debo hacer transacción importante encuentro cerca ningún banco ganadero,reestablescan servicio favor debo hacer transaccion importante encuentro cerca ningun banco ganadero,reestablescar servicio favor deber hacer transaccion importante encuentro cerca ningun banco ganadero,"['reestablescar', 'servicio', 'favor', 'deber', 'hacer', 'transaccion', 'importante', 'encuentro', 'cerca', 'ningun', 'banco', 'ganadero']"
Muy lenta y nunca se puede hacer nada.,1,0,lenta nunca puede hacer,lenta nunca puede hacer,lento nunca poder hacer,"['lento', 'nunca', 'poder', 'hacer']"
Buenas tarde me sale q intente más tarde. Por favor arreglen ese problema rápido Gracias,1,0,buenas tarde sale q intente tarde favor arreglen problema rápido gracias,buenas tarde sale q intente tarde favor arreglen problema rapido gracias,buena tarde salir intente tarde favor arreglir problema rapido gracias,"['buena', 'tarde', 'salir', 'intente', 'tarde', 'favor', 'arreglir', 'problema', 'rapido', 'gracias']"
Mal no sirve aurita no entra a mi cuenta me quieren mandar dinero pero no entra a la aplicación,1,0,mal sirve aurita entra cuenta quieren mandar dinero entra aplicación,mal sirve aurita entra cuenta quieren mandar dinero entra aplicacion,mal servir aurita entrar cuenta querer mandar dinero entrar aplicacion,"['mal', 'servir', 'aurita', 'entrar', 'cuenta', 'querer', 'mandar', 'dinero', 'entrar', 'aplicacion']"
No entiendo porque se traba diciendo que están configurando no me deja entrar,1,1,entiendo traba diciendo configurando deja entrar,entiendo traba diciendo configurando deja entrar,entender trar decir configurar dejar entrar,"['entender', 'trar', 'decir', 'configurar', 'dejar', 'entrar']"
Bien,5,0,bien,bien,bien,['bien']
A que numero puedo hacer mi reclamo quiero sacar dinero y la aplicación todo el día ah estado en mantenimiento,1,0,numero puedo hacer reclamo quiero sacar dinero aplicación día ah mantenimiento,numero puedo hacer reclamo quiero sacar dinero aplicacion dia ah mantenimiento,numero poder hacer reclamo querer sacar dinero aplicacion dia mantenimiento,"['numero', 'poder', 'hacer', 'reclamo', 'querer', 'sacar', 'dinero', 'aplicacion', 'dia', 'mantenimiento']"
"Una vergüenza tengo mi dinero y quiero disponer del mismo y no me deja ingresar. Necesito ocuparlo y no hay donde ir a quejarse y reclamar, por la necesidad de este dinero que no puedo retirar o transferir ya que no ingresa a la app, me sale que no tengo conexión y estoy con datos y wifi y nada en entrar.😤😒😠",1,29,vergüenza dinero quiero disponer mismo deja ingresar necesito ocuparlo ir quejarse reclamar necesidad dinero puedo retirar transferir ingresa app sale conexión datos wifi entrar😤😒😠,verguenza dinero quiero disponer mismo deja ingresar necesito ocuparlo ir quejarse reclamar necesidad dinero puedo retirar transferir ingresa app sale conexion datos wifi entrar😤😒😠,verguenzar dinero querer disponer mismo dejar ingresar necesito ocupar él quejar él reclamar necesidad dinero poder retirar transferir ingrés app salir conexion datos wifi,"['verguenzar', 'dinero', 'querer', 'disponer', 'mismo', 'dejar', 'ingresar', 'necesito', 'ocupar', 'él', 'quejar', 'él', 'reclamar', 'necesidad', 'dinero', 'poder', 'retirar', 'transferir', 'ingrés', 'app', 'salir', 'conexion', 'datos', 'wifi']"
Está fallando,5,0,fallando,fallando,fallar,['fallar']
Posi si no me voy a ir ir en tu moto para que que ya no me voy a loollml,5,0,posi si voy ir ir moto voy loollml,posi si voy ir ir moto voy loollml,posi ir moto ir loollml,"['posi', 'ir', 'moto', 'ir', 'loollml']"
Pesima atencion por parte de los operadores y la aplicacion no la recomiendo,1,0,pesima atencion parte operadores aplicacion recomiendo,pesima atencion parte operadores aplicacion recomiendo,pesimar atencion parte operador aplicacion recomeir,"['pesimar', 'atencion', 'parte', 'operador', 'aplicacion', 'recomeir']"
Basura la aplicación más de 50 intentos y no recarga.,1,0,basura aplicación intentos recarga,basura aplicacion intentos recarga,basura aplicacion intento recargar,"['basura', 'aplicacion', 'intento', 'recargar']"
Jamás llegan los sms para recibir el código ni de olvidar la contraseña tampoco de lo que se crea una nueva cuenta,2,0,jamás llegan sms recibir código olvidar contraseña tampoco crea nueva cuenta,jamas llegan sms recibir codigo olvidar contrasena tampoco crea nueva cuenta,jama llegar sms recibir codigo olvidar contrasena tampoco creer nuevo cuenta,"['jama', 'llegar', 'sms', 'recibir', 'codigo', 'olvidar', 'contrasena', 'tampoco', 'creer', 'nuevo', 'cuenta']"
Nome gusta este yolo pago cuándo depósito plata tarda en llegar o peor aún no llega que mal aplicación,1,0,nome gusta yolo pago cuándo depósito plata tarda llegar peor aún llega mal aplicación,nome gusta yolo pago cuando deposito plata tarda llegar peor aun llega mal aplicacion,nome gustar yolo pago deposito plata tardar llegar peor aun llegar mal aplicacion,"['nome', 'gustar', 'yolo', 'pago', 'deposito', 'plata', 'tardar', 'llegar', 'peor', 'aun', 'llegar', 'mal', 'aplicacion']"
Buenas tardes no me deja entrar me sale verifique su conexcion de Internet porfavor ayudaaaa,1,0,buenas tardes deja entrar sale verifique conexcion internet porfavor ayudaaaa,buenas tardes deja entrar sale verifique conexcion internet porfavor ayudaaaa,buena tarde dejar entrar salir verifique conexcion internet porfavor ayudaaaar,"['buena', 'tarde', 'dejar', 'entrar', 'salir', 'verifique', 'conexcion', 'internet', 'porfavor', 'ayudaaaar']"
totalmente una decepción uso mi cuenta yolo para mover dinero y pagar a personal y me sale mucho error. de conexión haciéndose muy difícil el retirar,1,2,totalmente decepción uso cuenta yolo mover dinero pagar personal sale error conexión haciéndose difícil retirar,totalmente decepcion uso cuenta yolo mover dinero pagar personal sale error conexion haciendose dificil retirar,totalmente decepcion uso contar yolo mover dinero pagar personal salir error conexion hacer él dificil retirar,"['totalmente', 'decepcion', 'uso', 'contar', 'yolo', 'mover', 'dinero', 'pagar', 'personal', 'salir', 'error', 'conexion', 'hacer', 'él', 'dificil', 'retirar']"
La app es muy lenta para transferir y por último no tranfiere nada a otra cuenta es muy pesima,1,1,app lenta transferir último tranfiere cuenta pesima,app lenta transferir ultimo tranfiere cuenta pesima,app lentar transferir ultimo tranfiere cuenta pesimo,"['app', 'lentar', 'transferir', 'ultimo', 'tranfiere', 'cuenta', 'pesimo']"
La verdad todo iba bien hasta que de la nada me boto y no me dejó entrar nunca más,1,0,verdad iba bien boto dejó entrar nunca,verdad iba bien boto dejo entrar nunca,verdad ir bien boto dejar entrar nunca,"['verdad', 'ir', 'bien', 'boto', 'dejar', 'entrar', 'nunca']"
"Es de las peores app, llevo esperando media hora solo para pagar un qr y todo carga mas. Me vota de la app. Un asco de aplicación.",1,4,peores app llevo esperando media hora solo pagar qr carga mas vota app asco aplicación,peores app llevo esperando media hora solo pagar qr carga mas vota app asco aplicacion,peor app llevar esperar medio hora solo pagar carga mas votar app asco aplicacion,"['peor', 'app', 'llevar', 'esperar', 'medio', 'hora', 'solo', 'pagar', 'carga', 'mas', 'votar', 'app', 'asco', 'aplicacion']"
Esto es informático yo lo pago es una App móvil que se usa solo con cuenta de banco ganadero próximamente se podrá registrar otro tipo de cuenta,3,0,informático pago app móvil usa solo cuenta banco ganadero próximamente podrá registrar tipo cuenta,informatico pago app movil usa solo cuenta banco ganadero proximamente podra registrar tipo cuenta,informatico pago app movil usar solo contar banco ganadero proximamente podra registrar tipo contar,"['informatico', 'pago', 'app', 'movil', 'usar', 'solo', 'contar', 'banco', 'ganadero', 'proximamente', 'podra', 'registrar', 'tipo', 'contar']"
Muy recomendable. Puedo hacer transferencia con normalidad y sin cargo alguno. La mejor app,5,5,recomendable puedo hacer transferencia normalidad cargo alguno mejor app,recomendable puedo hacer transferencia normalidad cargo alguno mejor app,recomendable poder hacer transferencia normalidad cargo alguno mejor app,"['recomendable', 'poder', 'hacer', 'transferencia', 'normalidad', 'cargo', 'alguno', 'mejor', 'app']"
Le doy 5 estrellas xq se que en futuro mejorara la app..,5,0,doy estrellas xq futuro mejorara app,doy estrellas xq futuro mejorara app,dar estrella futuro mejorar app,"['dar', 'estrella', 'futuro', 'mejorar', 'app']"
Ok,5,0,ok,ok,,[]
Su atención al cliente y soporte de app son unos incompetentes 3dias y no hubo solución,1,0,atención cliente soporte app incompetentes dias solución,atencion cliente soporte app incompetentes dias solucion,atencion cliente soporte app incompetent dia solucion,"['atencion', 'cliente', 'soporte', 'app', 'incompetent', 'dia', 'solucion']"
"Acabo de crear una cuenta,no puedo ni ingresar porque me sigue saliendo configurando tu cuenta hace más de 15min, y nada que reinicia",1,0,acabo crear cuentano puedo ingresar sigue saliendo configurando cuenta hace min reinicia,acabo crear cuentano puedo ingresar sigue saliendo configurando cuenta hace min reinicia,acabar crear cuentano poder ingresar seguir salir configurar cuenta hacer min reinicia,"['acabar', 'crear', 'cuentano', 'poder', 'ingresar', 'seguir', 'salir', 'configurar', 'cuenta', 'hacer', 'min', 'reinicia']"
Muy mal muy mal yolo pago de verdad una decepción no quiero habilitar la cuenta y sale configurando tu cuenta arreglen eso por dios 😑😑 espero unos minuto nada ya va un día que sigue configurando una decepción le pongo 1 xq muy mal de verdad que no configure rápido se va para abajo yolopago,1,79,mal mal yolo pago verdad decepción quiero habilitar cuenta sale configurando cuenta arreglen dios 😑😑 espero minuto va día sigue configurando decepción pongo xq mal verdad configure rápido va abajo yolopago,mal mal yolo pago verdad decepcion quiero habilitar cuenta sale configurando cuenta arreglen dios 😑😑 espero minuto va dia sigue configurando decepcion pongo xq mal verdad configure rapido va abajo yolopago,mal mal yolo pago verdad decepcion querer habilitar cuenta salir configurar cuenta arreglir dios espero minuto diar seguir configurar decepcion poner mal verdad configurar rapido abajo yolopago,"['mal', 'mal', 'yolo', 'pago', 'verdad', 'decepcion', 'querer', 'habilitar', 'cuenta', 'salir', 'configurar', 'cuenta', 'arreglir', 'dios', 'espero', 'minuto', 'diar', 'seguir', 'configurar', 'decepcion', 'poner', 'mal', 'verdad', 'configurar', 'rapido', 'abajo', 'yolopago']"
"Que app más obsoleta y basura, uno ni siquiera puede pasar de la página principal porque esta tremenda basura se cuelga en medio transcurso. Les advierto que se ahorren el tiempo descargando esta porquería porque solo es para renegar. Se nota totalmente que es una estupidez creado a medias",1,2,app obsoleta basura siquiera puede pasar página principal tremenda basura cuelga medio transcurso advierto ahorren tiempo descargando porquería solo renegar nota totalmente estupidez creado medias,app obsoleta basura siquiera puede pasar pagina principal tremenda basura cuelga medio transcurso advierto ahorren tiempo descargando porqueria solo renegar nota totalmente estupidez creado medias,app obsoleta basura siquiera poder pasar pagina principal tremendo basura cuelga medio transcurso advierto ahorrar tiempo descargar porqueria solo renegar nota totalmente estupidez creado media,"['app', 'obsoleta', 'basura', 'siquiera', 'poder', 'pasar', 'pagina', 'principal', 'tremendo', 'basura', 'cuelga', 'medio', 'transcurso', 'advierto', 'ahorrar', 'tiempo', 'descargar', 'porqueria', 'solo', 'renegar', 'nota', 'totalmente', 'estupidez', 'creado', 'media']"
Mucho mejor que Yape lo recomiendo,5,0,mejor yape recomiendo,mejor yape recomiendo,mejor yape recomeir,"['mejor', 'yape', 'recomeir']"
Estafa total como me van a cobrar 200bs por abilitarme mi cuenta es un robo,1,1,estafa total van cobrar bs abilitarme cuenta robo,estafa total van cobrar bs abilitarme cuenta robo,estafa total ir cobrar abilitarme contar robo,"['estafa', 'total', 'ir', 'cobrar', 'abilitarme', 'contar', 'robo']"
No me llegan la bandeja de notificaciones en la pantalla de inicio. Solo entrando a la app puedo saber cuánto me transfirieron. Mal ahi,1,13,llegan bandeja notificaciones pantalla inicio solo entrando app puedo saber cuánto transfirieron mal ahi,llegan bandeja notificaciones pantalla inicio solo entrando app puedo saber cuanto transfirieron mal ahi,llegar bandeja notificación pantalla inicio solo entrar app poder saber cuanto transferir mal ahi,"['llegar', 'bandeja', 'notificación', 'pantalla', 'inicio', 'solo', 'entrar', 'app', 'poder', 'saber', 'cuanto', 'transferir', 'mal', 'ahi']"
Bueno,4,0,bueno,bueno,bueno,['bueno']
Es horrible! Ni te deja registrar cuando llame para la atención al cliente tarde 8 minutos en espera no explican que debo hacer pesima señal no se descarguen no lo recomiendo...,1,1,horrible deja registrar llame atención cliente tarde minutos espera explican debo hacer pesima señal descarguen recomiendo,horrible deja registrar llame atencion cliente tarde minutos espera explican debo hacer pesima senal descarguen recomiendo,horrible dejar registrar llame atencion cliente tarde minuto esperar explicar deber hacer pesima senal descarguir recomeir,"['horrible', 'dejar', 'registrar', 'llame', 'atencion', 'cliente', 'tarde', 'minuto', 'esperar', 'explicar', 'deber', 'hacer', 'pesima', 'senal', 'descarguir', 'recomeir']"
No puedo hacer transferencia a otros bancos ya intente varias veces.,2,0,puedo hacer transferencia bancos intente varias veces,puedo hacer transferencia bancos intente varias veces,poder hacer transferencia banco intentar varios vez,"['poder', 'hacer', 'transferencia', 'banco', 'intentar', 'varios', 'vez']"
"Cambie de telefono y no me quiere abrir la aplicacion,me sale mensaje de q por q el telefono esta roteano no se puede",2,3,cambie telefono quiere abrir aplicacionme sale mensaje q q telefono roteano puede,cambie telefono quiere abrir aplicacionme sale mensaje q q telefono roteano puede,cambiar telefono querer abrir aplicacionme salir mensaje telefono roteano poder,"['cambiar', 'telefono', 'querer', 'abrir', 'aplicacionme', 'salir', 'mensaje', 'telefono', 'roteano', 'poder']"
Pésimo,1,0,pésimo,pesimo,pesimo,['pesimo']
Pésimo ahora mismo necesito sacar plata y no da la aplicación cuando uno más necesita no da,1,1,pésimo ahora mismo necesito sacar plata da aplicación necesita da,pesimo ahora mismo necesito sacar plata da aplicacion necesita da,pesimo ahora mismo necesitar sacar plata aplicacion necesitar,"['pesimo', 'ahora', 'mismo', 'necesitar', 'sacar', 'plata', 'aplicacion', 'necesitar']"
No funciona,1,0,funciona,funciona,funcionar,['funcionar']
Muy buena app....muy fácil de manejar,5,0,buena appmuy fácil manejar,buena appmuy facil manejar,buen appmuy facil manejar,"['buen', 'appmuy', 'facil', 'manejar']"
Quiero recuperar mi cuenta pero me olvidé el pin lo pongo restablecer contraseña y me sale error,1,0,quiero recuperar cuenta olvidé pin pongo restablecer contraseña sale error,quiero recuperar cuenta olvide pin pongo restablecer contrasena sale error,querer recuperar cuenta olvidir pin poner restablecer contrasena salir error,"['querer', 'recuperar', 'cuenta', 'olvidir', 'pin', 'poner', 'restablecer', 'contrasena', 'salir', 'error']"
Hace unos 10 minutos quise hacer un retiro en un cajero automático del banco ganadero y no pude y desde el domingo está generando fallas para el qr.,1,0,hace minutos quise hacer retiro cajero automático banco ganadero pude domingo generando fallas qr,hace minutos quise hacer retiro cajero automatico banco ganadero pude domingo generando fallas qr,hacer minuto querer hacer retiro cajero automatico banco ganadero poder domingo generar falla,"['hacer', 'minuto', 'querer', 'hacer', 'retiro', 'cajero', 'automatico', 'banco', 'ganadero', 'poder', 'domingo', 'generar', 'falla']"
Es un asco de aplicación. En el momento de recargar tarda una eternidad... No sirve para emergencias 👎👎,1,2,asco aplicación momento recargar tarda eternidad sirve emergencias 👎👎,asco aplicacion momento recargar tarda eternidad sirve emergencias 👎👎,asco aplicacion momento recargar tardar eternidad servir emergencia,"['asco', 'aplicacion', 'momento', 'recargar', 'tardar', 'eternidad', 'servir', 'emergencia']"
No quiere ingresar ni deja que transfiera esta totalmente mal llamo a servicio al cliente y no atienden ... donde esta la asfi en este aspecto muchos usuarios deben tener el mismo problema.,1,0,quiere ingresar deja transfiera totalmente mal llamo servicio cliente atienden asfi aspecto usuarios deben tener mismo problema,quiere ingresar deja transfiera totalmente mal llamo servicio cliente atienden asfi aspecto usuarios deben tener mismo problema,querer ingresar deja transfiser totalmente mal llamo servicio cliente atender asfi aspecto usuario deber tener mismo problema,"['querer', 'ingresar', 'deja', 'transfiser', 'totalmente', 'mal', 'llamo', 'servicio', 'cliente', 'atender', 'asfi', 'aspecto', 'usuario', 'deber', 'tener', 'mismo', 'problema']"
"Es muy lento para depósitos en farmacorp, muchas veces no ingresa ni a yolo pago ni a la app del mismo banco ganadero.",1,173,lento depósitos farmacorp muchas veces ingresa yolo pago app mismo banco ganadero,lento depositos farmacorp muchas veces ingresa yolo pago app mismo banco ganadero,lento deposito farmacorp mucho vez ingresar yolo pago app mismo banco ganadero,"['lento', 'deposito', 'farmacorp', 'mucho', 'vez', 'ingresar', 'yolo', 'pago', 'app', 'mismo', 'banco', 'ganadero']"
"Excelente!! Sobre todo porque en red móvil funciona!! Es un tiro con datos móviles a comparación de otras, gracias!!",5,0,excelente red móvil funciona tiro datos móviles comparación gracias,excelente red movil funciona tiro datos moviles comparacion gracias,excelente red movil funcionar tiro dato movil comparacion gracias,"['excelente', 'red', 'movil', 'funcionar', 'tiro', 'dato', 'movil', 'comparacion', 'gracias']"
Vtþjylkka responsables,5,0,vtþjylkka responsables,vtþjylkka responsables,vtþjylkkar responsable,"['vtþjylkkar', 'responsable']"
