content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
No funciona la aplicación para hacer pago de facturas no me aparece mi factura es mejor solo,1,1,funciona aplicación hacer pago facturas aparece factura mejor solo,funciona aplicacion hacer pago facturas aparece factura mejor solo,funcionar aplicacion hacer pago factura aparecer factura mejor solo
"Nunca se actualizan los pagos, malisima aplicacion, uno nunca sabe si se pago correctamente porque sigue saliendo como si yno debiera, pero se desconto el credito",1,3,nunca actualizan pagos malisima aplicacion nunca sabe si pago correctamente sigue saliendo si yno debiera desconto credito,nunca actualizan pagos malisima aplicacion nunca sabe si pago correctamente sigue saliendo si yno debiera desconto credito,nunca actualizar pago malisimo aplicacion nunca saber si pagar correctamente seguir salir si yno deber desconto credito
Excelente aplicación sigan adelante🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬👑,5,1,excelente aplicación sigan adelante🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬👑,excelente aplicacion sigan adelante🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬👑,excelente aplicacion seguir adelante 🇳 🇬 🇳 🇬 🇳 🇬 🇳 🇬 🇳 🇬 👑
No funcionó nunca el QR,1,1,funcionó nunca qr,funciono nunca qr,funciono nunca qr
Me interesa el crédito pero yo vivo en Sucre Bolivia es accesible o que Banco facilita ese crédito yo preciso por favor gracias,1,3,interesa crédito vivo sucre bolivia accesible banco facilita crédito preciso favor gracias,interesa credito vivo sucre bolivia accesible banco facilita credito preciso favor gracias,interesa credito vivo sucre bolivia accesible banco facilitar credito preciso favor gracias
Me sale que no puedo registrar por qué no coinciden mi carnet y mi fecha de nacimiento!,1,2,sale puedo registrar coinciden carnet fecha nacimiento,sale puedo registrar coinciden carnet fecha nacimiento,salir poder registrar coincidir carnet fecha nacimiento
Excelente la aplicación 👌 q buenísimo 🤯💥,5,1,excelente aplicación 👌 q buenísimo 🤯💥,excelente aplicacion 👌 q buenisimo 🤯💥,excelente aplicacion 👌 q buenisimo 🤯 💥
Muy buena app,5,1,buena app,buena app,buen app
Excelente!,5,2,excelente,excelente,excelente
Basura,1,2,basura,basura,basura
"Porfavor arreglen el sistema porq me transferieron 421bs y no me aparece en mi cuenta , solo me llego notificacion , y yo necesito mi dinero , tengo cosas muy importantes para pagar y esto pasa , arreglen de una vez esta app porfavor se los pido no roben a las personas por a quien los necesita muchisimo .",1,11,porfavor arreglen sistema porq transferieron bs aparece cuenta solo llego notificacion necesito dinero cosas importantes pagar pasa arreglen vez app porfavor pido roben personas necesita muchisimo,porfavor arreglen sistema porq transferieron bs aparece cuenta solo llego notificacion necesito dinero cosas importantes pagar pasa arreglen vez app porfavor pido roben personas necesita muchisimo,porfavor arreglir sistema porq transferir bs aparecer cuenta solo llego notificacion necesitar dinero cosa importante pagar pasar arreglir vez app porfavor pido robir persona necesitar muchisimo
Anda muy lenta no puedo retirar mi dinero,1,1,anda lenta puedo retirar dinero,anda lenta puedo retirar dinero,andar lento poder retirar dinero
Pésima aaa acabo con mi paciencia no carga asta para dar tu opinión no carga no da no genera los qr no da bien pesimaa,1,2,pésima aaa acabo paciencia carga asta dar opinión carga da genera qr da bien pesimaa,pesima aaa acabo paciencia carga asta dar opinion carga da genera qr da bien pesimaa,pesimar aaa acabar paciencia carga asta dar opinion carga dar genero qr dar bien pesimaa
Pesimo.. no puedo ni registrarme me sale error de conexión. Para que tanta publicidad si ni sirve.,1,4,pesimo puedo registrarme sale error conexión tanta publicidad si sirve,pesimo puedo registrarme sale error conexion tanta publicidad si sirve,pesimo poder registrar yo salir error conexion tanto publicidad si servir
"Pésima app, hoy dia me descargarme la app, acabo de hacer un cobro de dinero por Qr pero ese dinero no sale como saldo disponible me sale cero "" 0"" me fijo en mis movimientos y sale que recibi un dinero pero no puedo utilizarlo por que me sale que no tengo saldo disponible, tambien a cada rato se caduca la sésion de la app, mucha publicidad para tan pésima app. NÓ SE LOS RECOMIENDO",1,15,pésima app hoy dia descargarme app acabo hacer cobro dinero qr dinero sale saldo disponible sale cero fijo movimientos sale recibi dinero puedo utilizarlo sale saldo disponible tambien cada rato caduca sésion app mucha publicidad tan pésima app nó recomiendo,pesima app hoy dia descargarme app acabo hacer cobro dinero qr dinero sale saldo disponible sale cero fijo movimientos sale recibi dinero puedo utilizarlo sale saldo disponible tambien cada rato caduca sesion app mucha publicidad tan pesima app no recomiendo,pesimo app hoy dia descargar yo app acabar hacer cobro dinero qr dinero salir saldo disponible salir cero fijo movimiento salir recibi dinero poder utilizar él salir saldo disponible tambien cada rato caduca sesion app mucho publicidad tanto pesimo app no recomeir
Tiene problemas con reconoser la foto y es muy complicado crearme cuenta,1,0,problemas reconoser foto complicado crearme cuenta,problemas reconoser foto complicado crearme cuenta,problema reconoser foto complicado crearme contar
No puedo retirar mi dinero muy mal sus cajeros automáticos no funcionan trato de retirar hace más de dos meses,1,4,puedo retirar dinero mal cajeros automáticos funcionan trato retirar hace dos meses,puedo retirar dinero mal cajeros automaticos funcionan trato retirar hace dos meses,poder retirar dinero mal cajero automatico funcionar tratar retirar hacer dos mes
Mala su aplicación no se puede ni compartir el Qr peor modificar el tiempo uno quiere pagar facturas no sale tampoco se cuelga todo pésimo muy pésimo,1,5,mala aplicación puede compartir qr peor modificar tiempo quiere pagar facturas sale tampoco cuelga pésimo pésimo,mala aplicacion puede compartir qr peor modificar tiempo quiere pagar facturas sale tampoco cuelga pesimo pesimo,malo aplicacion poder compartir qr peor modificar tiempo querer pagar factura salir tampoco colgar pesimo pesimo
"Está horrible, no me deja ver mis servicios básicos ni para pagar. Ya instale y desintale la app y sigue el mismo problema.",1,4,horrible deja ver servicios básicos pagar instale desintale app sigue mismo problema,horrible deja ver servicios basicos pagar instale desintale app sigue mismo problema,horrible dejar ver servicio basico pagar instalar desintale app seguir mismo problema
"Funcionaba bastante bien, hoy intento pagar mis servicios pero no me deja no actualiza la página para pagar.",2,4,funcionaba bastante bien hoy intento pagar servicios deja actualiza página pagar,funcionaba bastante bien hoy intento pagar servicios deja actualiza pagina pagar,funcionar bastante bien hoy intentar pagar servicio dejar actualizo pagina pagar
Cada día peor esta aplicación se queda cargando años a veces,1,1,cada día peor aplicación queda cargando años veces,cada dia peor aplicacion queda cargando anos veces,cada dia peor aplicacion quedar cargar ano vez
"No me deja iniciar seción en mi registro , solucion de una vez la app está de peor en peor",1,2,deja iniciar seción registro solucion vez app peor peor,deja iniciar secion registro solucion vez app peor peor,dejar iniciar secion registro solucion vez app peor peor
"Realmente es una lástima la app,en cada actualizacion tienen peores problemas,ahora no genera los qr solo sale cargando una y otra vez pero nada,ya probé actualizando la app reiniciando el equipo pero nada,siempre q necesito usarlo sale con algún inconveniente,no es nada recomendable un perjuicio realmente",1,42,realmente lástima appen cada actualizacion peores problemasahora genera qr solo sale cargando vez nadaya probé actualizando app reiniciando equipo nadasiempre q necesito usarlo sale algún inconvenienteno recomendable perjuicio realmente,realmente lastima appen cada actualizacion peores problemasahora genera qr solo sale cargando vez nadaya probe actualizando app reiniciando equipo nadasiempre q necesito usarlo sale algun inconvenienteno recomendable perjuicio realmente,realmente lastima appar cada actualizacion peor problemasahora generar qr solo salir cargar vez nadair probe actualizar app reiniciar equipo nadasiempre q necesitar usar él salir algun inconvenienteno recomendable perjuicio realmente
Exelente app pensé que fallaba algo si a alguien les está costando entrar desinstalen y vuelvan a instalar es una solución,5,5,exelente app pensé fallaba si alguien costando entrar desinstalen vuelvan instalar solución,excelente app pense fallaba si alguien costando entrar desinstalen vuelvan instalar solucion,excelente app pensar fallar si alguien costar entrar desinstalar volver instalar solucion
Esta mala la app después de la actualización no puedo recargar crédito... Y tengo saldo y me dice q no tengo salgo no me registra mi saldo Verdadero me manda mensaje de las recargas o trasferencias q me. Hacen pero no registra el saldo,1,4,mala app después actualización puedo recargar crédito saldo dice q salgo registra saldo verdadero manda mensaje recargas trasferencias q hacen registra saldo,mala app despues actualizacion puedo recargar credito saldo dice q salgo registra saldo verdadero manda mensaje recargas trasferencias q hacen registra saldo,malo app despues actualizacion poder recargar credito saldo decir q salgo registrar saldo verdadero manda mensaje recarga trasferencia q hacer registra saldo
Una verguenza si alguien mas quiere ir a quejarse al asfi lo acompaño,1,1,verguenza si alguien mas quiere ir quejarse asfi acompaño,verguenza si alguien mas quiere ir quejarse asfi acompano,verguenza si alguien mas querer ir quejar él asfi acompano
Me temo q con su actuañizacion el sistema se vino abajo es una molestia tener q esperar bastante tiempo para realizar alguna funcion y por ultimo q terminando la esñera salga error o inactividad... pesimo vuelvanlo.a.como estaba mis 5 estrellas volveran en cuanto restauren el.sistema pronto,2,10,temo q actuañizacion sistema vino abajo molestia tener q esperar bastante tiempo realizar alguna funcion ultimo q terminando esñera salga error inactividad pesimo vuelvanloacomo estrellas volveran cuanto restauren elsistema pronto,temo q actuanizacion sistema vino abajo molestia tener q esperar bastante tiempo realizar alguna funcion ultimo q terminando esnera salga error inactividad pesimo vuelvanloacomo estrellas volveran cuanto restauren elsistema pronto,temer q actuanizacion sistema venir abajo molestio tener q esperar bastante tiempo realizar alguno funcion ultimo q terminando esnera salir error inactividad pesimo vuelvanloacomo estrella volveran cuanto restaurir elsistema pronto
"Pésima aplicación, las notificaciones de pagos o cobros no se actualizan o no llegan por lo que no se puede comprobar el pago o el cobro. Por otro lado hay cobro por QR que no llegaron y quedaron flotando y demora demacion en iniciar seción se que da cargando y al final jamás carga soluciono ese problema y desinstalo la aplicación. Debe mejorar mucho.",1,109,pésima aplicación notificaciones pagos cobros actualizan llegan puede comprobar pago cobro lado cobro qr llegaron quedaron flotando demora demacion iniciar seción da cargando final jamás carga soluciono problema desinstalo aplicación debe mejorar,pesima aplicacion notificaciones pagos cobros actualizan llegan puede comprobar pago cobro lado cobro qr llegaron quedaron flotando demora demacion iniciar secion da cargando final jamas carga soluciono problema desinstalo aplicacion debe mejorar,pesimar aplicacion notificación pago cobro actualizar llegar poder comprobar pago cobro lado cobro qr llegar quedar flotar demora demacion iniciar secion dar cargar final jama carga soluciono problema desinstalo aplicacion deber mejorar
No puedo ni ingresar ya Pongo mi número y mi contraseña y nada que ingresa,1,1,puedo ingresar pongo número contraseña ingresa,puedo ingresar pongo numero contrasena ingresa,poder ingresar pongo numero contrasena ingrés
Malisima desde q la acualizaron no se puede hacer nada...,1,2,malisima q acualizaron puede hacer,malisima q acualizaron puede hacer,malisimo q acualizar poder hacer
Pésima la última actualización. No se puede hacer ninguna transacción.,1,1,pésima última actualización puede hacer ninguna transacción,pesima ultima actualizacion puede hacer ninguna transaccion,pesimar ultimo actualizacion poder hacer ninguno transaccion
Con la última actualización no puedo ingresar a la app,1,2,última actualización puedo ingresar app,ultima actualizacion puedo ingresar app,ultimo actualizacion poder ingresar app
La verdad la aplicación está muy mal no me deja ASER nada quería cargar crédito de Entel y me sale error o el código que ingreso está mal. No ay caso hoy día en la mañana quise apagar por kr y me sale pendiente. Y desde la mañana y esa plata que sale como embiada adónde tengo que recurrir para que me han la devolución por qué así no se puede enojado 😡😡😡😡.,1,9,verdad aplicación mal deja aser quería cargar crédito entel sale error código ingreso mal ay caso hoy día mañana quise apagar kr sale pendiente mañana plata sale embiada adónde recurrir devolución así puede enojado 😡😡😡😡,verdad aplicacion mal deja hacer queria cargar credito entel sale error codigo ingreso mal ay caso hoy dia manana quise apagar kr sale pendiente manana plata sale embiada adonde recurrir devolucion asi puede enojado 😡😡😡😡,verdad aplicacion mal dejar hacer queria cargar credito entel salir error codigo ingreso mal ay caso hoy diar manán querer apagar kr salir pendiente manán plata salir embiado adonde recurrir devolucion asi poder enojar 😡 😡 😡 😡
Es muy difícil entrar y mucho menos pagar los servicios ni cargar crédito a ninguna linea,1,5,difícil entrar menos pagar servicios cargar crédito ninguna linea,dificil entrar menos pagar servicios cargar credito ninguna linea,dificil entrar menos pagar servicio cargar credito ninguno line
"Pésima la actualización, tarda un montón en hacer un QR y no se pude recargar crédito a las compañías telefónicas. Que mal :(",1,6,pésima actualización tarda montón hacer qr pude recargar crédito compañías telefónicas mal,pesima actualizacion tarda monton hacer qr pude recargar credito companias telefonicas mal,pesimar actualizacion tarda monton hacer qr poder recargar credito compania telefonica mal
"La verdad esta última actualización está horrible no me deja hacer nada, en el principio cuando quiero entrar ala app cuesta que cargue, cuando pongo mi clave carga arto o se me pone en negro la pantalla, despuej cuando quiero recargar crédito de Entel o Tigo me sale error o que el código que ingresé no existe osea pésimo la verdad me desilusionó bastante yo utilizo bastante esta app para que la hayan fregado 😡😡😡",1,81,verdad última actualización horrible deja hacer principio quiero entrar ala app cuesta cargue pongo clave carga arto pone negro pantalla despuej quiero recargar crédito entel tigo sale error código ingresé existe osea pésimo verdad desilusionó bastante utilizo bastante app fregado 😡😡😡,verdad ultima actualizacion horrible deja hacer principio quiero entrar ala app cuesta cargue pongo clave carga arto pone negro pantalla despuej quiero recargar credito entel tigo sale error codigo ingrese existe osea pesimo verdad desilusiono bastante utilizo bastante app fregado 😡😡😡,verdad ultima actualizacion horrible dejar hacer principio querer entrar ala app costar carguir pongo clave carga arto poner negro pantalla despuej querer recargar credito entel tiguir salir error codigo ingrese existir osea pesimo verdad desilusionir bastante utilizo bastante app fregado 😡 😡 😡
"Me encantaba la app, era fácil de realizar tus movimientos monetarios. Pero, desde la última actualización no me cargan los servicios ""el mes a pagar"", y después de unos segundos me sale que por inactividad mandarán a la página de inicio. Entonces no puedo pagar. Aparte de eso, antes podías pagar en conjunto todos los servicios, ahora es uno por uno y así es más moroso.",1,14,encantaba app fácil realizar movimientos monetarios última actualización cargan servicios mes pagar después segundos sale inactividad mandarán página inicio entonces puedo pagar aparte podías pagar conjunto servicios ahora así moroso,encantaba app facil realizar movimientos monetarios ultima actualizacion cargan servicios mes pagar despues segundos sale inactividad mandaran pagina inicio entonces puedo pagar aparte podias pagar conjunto servicios ahora asi moroso,encantar app facil realizar movimiento monetario ultima actualizacion carguir servicio mes pagar despu segundo salir inactividad mandar pagina inicio entonces poder pagar aparte podia pagar conjunto servicio ahora asi moroso
No cargan los servicios básicos a pagar... Arreglen eso,1,8,cargan servicios básicos pagar arreglen,cargan servicios basicos pagar arreglen,carguir servicio basico pagar arreglir
En un principio muy buena ....ahora con la nueva actualizacion malisima no se puede hacer recarga a ninguna compañia,1,12,principio buena ahora nueva actualizacion malisima puede hacer recarga ninguna compañia,principio buena ahora nueva actualizacion malisima puede hacer recarga ninguna compania,principio buen ahora nuevo actualizacion malisimo poder hacer recarga ninguno compania
Al inico todo bien después cn la Nueva actualización lo cago x completo app ya no se puede realizar nada ... arreglen eso,3,6,inico bien después cn nueva actualización cago x completo app puede realizar arreglen,inico bien despues cn nueva actualizacion cago x completo app puede realizar arreglen,inico bien despues cn nuevo actualizacion cago x completo app poder realizar arreglir
Estoy tratando de actualizarlo y no me sale el código QR desde ayer xq me tienen que Cancelar y nada el codigo fuera que tiene que ser 24/7,2,2,tratando actualizarlo sale código qr ayer xq cancelar codigo ser,tratando actualizarlo sale codigo qr ayer xq cancelar codigo ser,tratar actualizar él salir codigo qr ayer xq cancelar codigo ser
Estpy mas de una hora intentando hacer una transferencia q mal servicio y nose como puedo comunicarme con sosporte malisimo,1,5,estpy mas hora intentando hacer transferencia q mal servicio nose puedo comunicarme sosporte malisimo,estpy mas hora intentando hacer transferencia q mal servicio nose puedo comunicarme sosporte malisimo,estpy mas hora intentar hacer transferencia q mal servicio no él poder comunicar yo sosporte malisimo
La app no funciona cuando uno la necesita,5,2,app funciona necesita,app funciona necesita,app funcionar necesitar
Que pasa con la app su actualización se cuelga mucho y no puedo Aser ningún movimiento 🤬,5,1,pasa app actualización cuelga puedo aser ningún movimiento 🤬,pasa app actualizacion cuelga puedo hacer ningun movimiento 🤬,pasar app actualizacion cuelga poder hacer ningun movimiento 🤬
No Puedo Aser QR Para Cobrar🤬,3,1,puedo aser qr cobrar🤬,puedo hacer qr cobrar🤬,poder hacer qr cobrar 🤬
Un qr no pude crear para hacer cobros en mi tienda,1,1,qr pude crear hacer cobros tienda,qr pude crear hacer cobros tienda,qr poder crear hacer cobro tiendo
Tengo problemas para registrarme desde el año pasado porque tengo carnet con extensión cuando van a arreglar ese problema estoy usando la cuenta de mi hermana quiero tener mi propia cuenta en esta app,1,4,problemas registrarme año pasado carnet extensión van arreglar problema usando cuenta hermana quiero tener propia cuenta app,problemas registrarme ano pasado carnet extension van arreglar problema usando cuenta hermana quiero tener propia cuenta app,problema registrar yo ano pasado carnet extension ir arreglar problema usar cuenta hermán querer tener propio cuenta app
No se puede crear el QR para cobrar,2,2,puede crear qr cobrar,puede crear qr cobrar,poder crear qr cobrar
"Asistencia técnica por fabor, sale que mi dispositivo no es compatible con esa versión.",1,2,asistencia técnica fabor sale dispositivo compatible versión,asistencia tecnica fabor sale dispositivo compatible version,asistencia tecnico fabor salir dispositivo compatible version
No se x q mi sale esta palabra error diciendo,3,1,x q sale palabra error diciendo,x q sale palabra error diciendo,x q salir palabra error decir
Es muy buena pero ahora no quiere funcionar correctamente,5,2,buena ahora quiere funcionar correctamente,buena ahora quiere funcionar correctamente,buen ahora querer funcionar correctamente
no me genera el Qr,1,1,genera qr,genera qr,generar qr
No se puede generar QR ... Antes era súper..,2,1,puede generar qr súper,puede generar qr super,poder generar qr super
Estaba funcionando bien pero desde ayer q no puedo generar qr para cobrar,3,1,funcionando bien ayer q puedo generar qr cobrar,funcionando bien ayer q puedo generar qr cobrar,funcionar bien ayer q poder generar qr cobrar
Lamentablemente este app no sirve quiero cobrar y no me genera el código QR así que no recomiendo este app del yolo pagó pésimo,1,1,lamentablemente app sirve quiero cobrar genera código qr así recomiendo app yolo pagó pésimo,lamentablemente app sirve quiero cobrar genera codigo qr asi recomiendo app yolo pago pesimo,lamentablemente app servir querer cobrar generar codigo qr asi recomeir app yolo pago pesimo
Ta buena,5,1,ta buena,ta buena,ta buen
"Muy mala, se cuelga demasiado sale error cada vez que quiero cobrar con qr mal, mal",1,2,mala cuelga demasiado sale error cada vez quiero cobrar qr mal mal,mala cuelga demasiado sale error cada vez quiero cobrar qr mal mal,malo colgar demasiado salir error cada vez querer cobrar qr mal mal
Muy buena,5,1,buena,buena,buen
Pésima aplicación nunca se actualizan las notificaciones y es difícil controlar pagos,1,1,pésima aplicación nunca actualizan notificaciones difícil controlar pagos,pesima aplicacion nunca actualizan notificaciones dificil controlar pagos,pesimar aplicacion nunca actualizar notificación dificil controlar pago
Super,5,1,super,super,super
Me pide una foto y luego no la acepta y no puedo continuar con mi registro,2,1,pide foto luego acepta puedo continuar registro,pide foto luego acepta puedo continuar registro,pedir foto luego aceptar poder continuar registro
Muy buenq,5,1,buenq,buenq,buenq
Buena,5,1,buena,buena,buen
Muy buena app,4,1,buena app,buena app,buen app
Falta registro para carné con complemento,1,2,falta registro carné complemento,falta registro carne complemento,faltar registro carnir complemento
"Bueno la verdad muy bien necesitaba hacer un pago urgente de mi Internet, y de mi banco no se podía descargue esta aplicación y aquí si estaba así qe muy bien, Aunque soy fiel a soli y bcp xD vamos a ver que tal va esta aplicación en soli ganó por invitar xD",5,4,bueno verdad bien necesitaba hacer pago urgente internet banco podía descargue aplicación aquí si así qe bien aunque fiel soli bcp xd vamos ver tal va aplicación soli ganó invitar xd,bueno verdad bien necesitaba hacer pago urgente internet banco podia descargue aplicacion aqui si asi qe bien aunque fiel soli bcp xd vamos ver tal va aplicacion soli gano invitar xd,bueno verdad bien necesitar hacer pago urgente internet banco podiar descargar aplicacion aqui si asi qe bien aunque fiel soli bcp xd ir ver tal ir aplicacion soli gano invitar xd
Bien,5,1,bien,bien,bien
🥰,5,1,🥰,🥰,🥰
Nada bueno le falta,1,1,bueno falta,bueno falta,bueno faltar
👍 👍 buena,5,1,👍 👍 buena,👍 👍 buena,👍 👍 buen
"Es complicado registrarse intente por dos horas que valide la foto pero no te deja,",1,2,complicado registrarse intente dos horas valide foto deja,complicado registrarse intente dos horas valide foto deja,complicado registrar él intente dos hora validir foto dejar
Excelente,5,1,excelente,excelente,excelente
Buena app,5,1,buena app,buena app,buen app
"Como dice la música, facilito de utilizar...!",5,3,dice música facilito utilizar,dice musica facilito utilizar,decir musico facilito utilizar
"Aplicación muy amigable, con buenas opciones.",5,1,aplicación amigable buenas opciones,aplicacion amigable buenas opciones,aplicacion amigable buena opción
Muy útil y fácil de usar,5,3,útil fácil usar,util facil usar,util facil usar
"Excelente aplicación, fácil de usar y muy práctica 👏👏💫",5,4,excelente aplicación fácil usar práctica 👏👏💫,excelente aplicacion facil usar practica 👏👏💫,excelente aplicacion facil usar practica 👏 👏 💫
"App muy intuitiva y de fácil uso, super recomendada.",5,1,app intuitiva fácil uso super recomendada,app intuitiva facil uso super recomendada,app intuitivo facil uso super recomendado
Excelente app!!,5,1,excelente app,excelente app,excelente app
Muy bueno y util a laves,4,1,bueno util laves,bueno util laves,bueno util lav
porqueria de aplicación,1,1,porqueria aplicación,porqueria aplicacion,porqueria aplicacion
No puedo registrarme me sale no compatible con su dispositivo Como puedo hacer,1,1,puedo registrarme sale compatible dispositivo puedo hacer,puedo registrarme sale compatible dispositivo puedo hacer,poder registrar yo salir compatible dispositivo poder hacer
Fondos retenidos se perdió últimamente no se actualizo,1,2,fondos retenidos perdió últimamente actualizo,fondos retenidos perdio ultimamente actualizo,fondo retenido perdio ultimamente actualizo
Un asco siempre funcionó bien pero ahora pide el escaneo de rostro y sale error y me bloquearon por 24 horas hdps,1,3,asco siempre funcionó bien ahora pide escaneo rostro sale error bloquearon horas hdps,asco siempre funciono bien ahora pide escaneo rostro sale error bloquearon horas hdps,asco siempre funciono bien ahora pedir escaneo rostro salir error bloquear hora hdps
"Malísima, te dice que tú carnet y fecha de nacimiento no son validos, tarados! Uno no sabe poner fecha de nacimiento y carnet??",1,1,malísima dice carnet fecha nacimiento validos tarados sabe poner fecha nacimiento carnet,malisima dice carnet fecha nacimiento validos tarados sabe poner fecha nacimiento carnet,malisima decir carnet fecha nacimiento valido tarado saber poner fecha nacimiento carnet
Al crear cuenta dice que mi fecha de nacimiento y carnet no coinciden. Pero son los datos correctos,1,3,crear cuenta dice fecha nacimiento carnet coinciden datos correctos,crear cuenta dice fecha nacimiento carnet coinciden datos correctos,crear cuenta decir fecha nacimiento carnet coincidir dato correcto
Aplicacion intuitiva y facil de usar recomendable,5,1,aplicacion intuitiva facil usar recomendable,aplicacion intuitiva facil usar recomendable,aplicacion intuitiva facil usar recomendable
Excelente app,5,1,excelente app,excelente app,excelente app
Excelente aplicación,5,1,excelente aplicación,excelente aplicacion,excelente aplicacion
Super amigable y fácil de usar.,5,1,super amigable fácil usar,super amigable facil usar,super amigable facil usar
Buena aplicación,5,1,buena aplicación,buena aplicacion,buen aplicacion
Simple y rápido.,5,1,simple rápido,simple rapido,simple rapido
No puedo instalar me sale pendiente,1,2,puedo instalar sale pendiente,puedo instalar sale pendiente,poder instalar salir pendiente
"Adopción natural, nombre pegajoso",5,1,adopción natural nombre pegajoso,adopcion natural nombre pegajoso,adopcion natural nombre pegajoso
"Muy buena aplicación, fácil y rápida",5,2,buena aplicación fácil rápida,buena aplicacion facil rapida,buen aplicacion facil rapido
Muy útil la aplicación acabo de realizar unas transferencias y todo salió exitoso... Sigan adelante,4,2,útil aplicación acabo realizar unas transferencias salió exitoso sigan adelante,util aplicacion acabo realizar unas transferencias salio exitoso sigan adelante,util aplicacion acabar realizar uno transferencia salio exitoso seguir adelante
"Excelente Aplicación, súper fácil!",5,2,excelente aplicación súper fácil,excelente aplicacion super facil,excelente aplicacion super facil
Rápida y confiable,5,1,rápida confiable,rapida confiable,rapido confiable
Excelente aplicación. Muy intuitiva y fasil de usar.,5,2,excelente aplicación intuitiva fasil usar,excelente aplicacion intuitiva fasil usar,excelente aplicacion intuitivo fasil usar
Muy fácil de usar y facilita el retiro si no se tiene tarjeta de debito,5,1,fácil usar facilita retiro si tarjeta debito,facil usar facilita retiro si tarjeta debito,facil usar facilito retiro si tarjeta debito
"Fácil de usar y de gran utilidad, super recomendado!!!",5,2,fácil usar gran utilidad super recomendado,facil usar gran utilidad super recomendado,facil usar gran utilidad super recomendado
"Excelente aplicacion, intuitiva y muy rapida.",5,1,excelente aplicacion intuitiva rapida,excelente aplicacion intuitiva rapida,excelente aplicacion intuitivo rapido
App fassil de usarla. Me salva en muchas oportunidades ☺️,5,1,app fassil usarla salva muchas oportunidades ☺️,app fassil usarla salva muchas oportunidades ☺,app fassil usar él salva mucho oportunidad ☺
"Si no estás cerca de un cajero pero si de un farmacorp es muy útil para conseguir un poco de efectivo, saca de apuros muy recomendada",5,2,si cerca cajero si farmacorp útil conseguir efectivo saca apuros recomendada,si cerca cajero si farmacorp util conseguir efectivo saca apuros recomendada,si cerca cajero si farmacorp util conseguir efectivo sacar apuro recomendado
Buena aplicación,5,1,buena aplicación,buena aplicacion,buen aplicacion
Rapida y segura,5,1,rapida segura,rapida segura,rapido seguro
Buena app fácil de usar y rápida,5,1,buena app fácil usar rápida,buena app facil usar rapida,buen app facil usar rapido
Fácil de usar,5,1,fácil usar,facil usar,facil usar
Muy cómoda y práctica de usar además de ser muy rápida.,5,2,cómoda práctica usar además ser rápida,comoda practica usar ademas ser rapida,comoda practicar usar adema ser rapir
El dia de ayer q instale la apk funcionaba muy bien...hoy q kiero ingresar nuevamente me indica error de conexion...sin embargo mi señal es excelente....luego me indica q bloquearon la cuenta x intentos excesivos siendo q siempre di mis datos correctos....xfavor kisiera q me brinden soluciones al respecto...,1,24,dia ayer q instale apk funcionaba bienhoy q kiero ingresar nuevamente indica error conexionsin embargo señal excelenteluego indica q bloquearon cuenta x intentos excesivos siendo q siempre di datos correctosxfavor kisiera q brinden soluciones respecto,dia ayer q instale apk funcionaba bienhoy q kiero ingresar nuevamente indica error conexionsin embargo senal excelenteluego indica q bloquearon cuenta x intentos excesivos siendo q siempre di datos correctosxfavor kisiera q brinden soluciones respecto,diar ayer q instalar apk funcionar bienhoy q kiero ingresar nuevamente indicar error conexionsin embargo senal excelenteluego indicar q bloquear cuenta x intento excesivo ser q siempre dar dato correctosxfavor kisiero q brindir solución respecto
Ya me enoje porque no puedo cambiar la contraseña me sale error de red.,1,1,enoje puedo cambiar contraseña sale error red,enoje puedo cambiar contrasena sale error red,enoje poder cambiar contrasena salir error red
Definitivamente pesimo el sistema de la billetera movil.. no dan respuesta a reclamos.. aplicacion no recomendable y Aun sigo esperando mi respuesta al reclamo q HACE 3 MESES LO HICE hasta ahora NADA.. PESIMA SU GESTION DE RESPUESTA haber si se dan molestia de tomar en cuenta mi reclamo OTRAAAA VES..,1,5,definitivamente pesimo sistema billetera movil dan respuesta reclamos aplicacion recomendable aun sigo esperando respuesta reclamo q hace meses hice ahora pesima gestion respuesta haber si dan molestia tomar cuenta reclamo otraaaa ves,definitivamente pesimo sistema billetera movil dan respuesta reclamos aplicacion recomendable aun sigo esperando respuesta reclamo q hace meses hice ahora pesima gestion respuesta haber si dan molestia tomar cuenta reclamo otraaaa ves,definitivamente pesimo sistema billetera movil dar respuesta reclar aplicacion recomendable aun seguir esperar respuesta reclamo q hacer mes hacer ahora pesimir gestion respuesta haber si dar molestia tomar cuenta reclamo otraaaa ves
Buena opcion saca de apuros,5,2,buena opcion saca apuros,buena opcion saca apuros,buen opcion saco apuro
me encanta,5,1,encanta,encanta,encantar
Mentira es esto yo ya pague todo me mintieron arreglen esto ahora o quieren q lo publique quiero diamantes ahora,1,0,mentira pague mintieron arreglen ahora quieren q publique quiero diamantes ahora,mentira pague mintieron arreglen ahora quieren q publique quiero diamantes ahora,mentira pagar mentir arreglir ahora querer q publique querer diamant ahora
"Pago de servicio excelente, mejoren pago Comteco y Semapa",5,2,pago servicio excelente mejoren pago comteco semapa,pago servicio excelente mejoren pago comteco semapa,pagar servicio excelente mejorar pago comteco semapa
